# SunOS tom 5.10 Generic_141445-09 i86pc
# mbytes = 100, threading = 0, units = cycles
#               ave             max
1               11130           11130
2               13712           13717
3               15044           15125
4               16474           16563
5               17884           18044
6               19741           19954
7               19701           20477
8               19744           20754
9               20150           21314
10              20562           21596
11              21472           22129
12              22811           23086
13              23521           24059
14              23881           24913
15              24318           25832
16              25048           26952
17              25859           27983
18              27335           29222
19              28662           30454
20              30358           31980
21              31124           32580
22              32925           34197
23              32703           34246
24              33701           35295
25              35262           36563
26              36256           37545
27              38404           39575
28              39295           40705
29              40615           41596
30              42248           43058
31              43586           44330
32              45413           46313
33              47632           48436
34              48251           49204
35              51076           52012
36              53004           54383
37              53838           54734
38              55794           56844
39              56825           58404
40              59741           60407
41              60319           61202
42              62105           65453
43              63195           66867
44              65813           68537
45              68286           72792
46              68493           74337
47              70185           74240
48              72538           80580

# SunOS tom 5.10 Generic_141445-09 i86pc
# mbytes = 100, threading = 1, units = cycles
#               ave             max
1               11268           11268
2               14623           14684
3               16150           16217
4               17793           17918
5               19561           19892
6               21293           21444
7               21493           22001
8               22154           22897
9               23443           24442
10              25968           26197
11              27333           28667
12              28762           30072
13              30371           32776
14              32561           35418
15              35278           39118
16              33913           37862
17              35420           40074
18              39909           44367
19              38250           43283
20              42038           47439
21              46392           52498
22              46901           54048
23              45366           52171
24              46947           54025
25              55417           63046
26              57391           64918
27              57459           66200
28              62479           70428
29              61440           70839
30              67773           75278
31              71419           80412
32              75225           76355
33              72365           82048
34              80628           88734
35              83899           92498
36              81616           90563
37              78033           87305
38              93168           100883
39              83526           93010
40              86156           95736
41              102554          110666
42              105332          113082
43              103795          112577
44              111185          118937
45              114342          122353
46              101292          109601
47              104681          113347
48              117796          127440
